Entry Date,Exit Date,Ticker,PnL %,PnL $,Entry Price,Exit Price
2021-05-26,2021-06-16,DIS,-1.0788237341221474,-1.7800591613015344,172.41,170.55
2021-05-26,2021-06-16,TSLA,-2.3501477927993397,-3.877743858118908,206.37,201.52
2021-06-22,2021-07-01,HD,2.8654634356798825,4.703696327354165,278.14,286.11
2021-06-30,2021-07-08,BAC,-5.919258046917609,-6.583006824614158,36.66,34.49
2021-06-28,2021-07-08,WFC,-7.615083251714017,-12.49531587275991,40.84,37.73
2021-06-25,2021-07-12,UNH,2.796846508634565,4.593437635711051,372.92,383.35
2021-07-29,2021-08-11,BAC,8.488372093023266,13.80923609336822,34.4,37.32
2021-07-29,2021-08-18,XOM,-6.342451874366772,-10.318163999425014,49.35,46.22
2021-08-26,2021-09-16,XOM,1.955727487642367,3.1919000422617367,46.53,47.44
2021-10-08,2021-10-15,UNH,4.8045343786418115,7.864378828850284,377.56,395.7
2021-10-08,2021-10-19,MSFT,4.554734248504055,7.455489496382907,284.1,297.04
2021-10-13,2021-10-25,ADBE,9.436674502376086,10.157221705770123,591.31,647.11
2021-10-11,2021-11-01,GOOGL,3.2735718951876214,5.349768815902001,137.77,142.28
2021-10-11,2021-11-01,PG,0.8563952105304917,1.399546592552,126.11,127.19
2021-11-01,2021-11-22,META,3.368453198961685,5.676536122590908,327.45,338.48
2021-12-06,2021-12-13,JNJ,3.3990011098779194,5.756957461357004,144.16,149.06
2021-12-10,2021-12-13,ORCL,-1.6564861786934504,-2.812192788867525,96.59,94.99
2021-12-10,2021-12-31,META,1.9834357140674275,3.3672503181899023,327.21,333.7
2022-01-28,2022-02-01,V,1.7615360231852506,3.000227730388483,220.83,224.72
2022-02-01,2022-02-02,GOOGL,7.5755353476092635,12.926596235108027,136.36,146.69
2022-02-03,2022-02-11,AMD,-5.788772280526411,-0.30116359439567825,120.06,113.11
2022-02-01,2022-02-17,HD,-5.593665951467175,-9.54481207080722,330.91,312.4
2022-01-28,2022-02-18,JNJ,-4.296617976049477,-7.317949919252742,151.98,145.45
2022-02-01,2022-02-22,AAPL,-5.743223464668345,-9.800011142340617,170.81,161.0
2022-02-02,2022-02-23,NVDA,-11.349206349206343,-13.309507182442927,25.2,22.34
2022-02-08,2022-02-23,TSLA,-17.099052765209453,-20.459969702578523,307.21,254.68
2022-02-25,2022-03-08,MSFT,-7.3228373822681,-11.980004669678204,287.73,266.66
2022-03-03,2022-03-15,JNJ,4.564840730374509,7.429903609991034,150.06,156.91
2022-03-01,2022-03-22,TSLA,15.048425729857339,24.590023920470404,288.07,331.42
2022-03-18,2022-03-29,AAPL,9.22904471291568,15.132871838176847,160.58,175.4
2022-03-17,2022-04-05,BAC,-6.747360288436766,-11.006493028781469,38.83,36.21
2022-03-17,2022-04-05,WFC,-6.496020649602075,-7.064333599930968,46.49,43.47
2022-03-21,2022-04-11,PG,5.795706883789786,9.536579225644472,135.1,142.93
2022-06-22,2022-07-13,UNH,2.34475819681097,3.929665474949848,457.19,467.91
2022-06-23,2022-07-14,JNJ,-2.2111801242235996,-2.412475092535435,161.0,157.44
2022-10-04,2022-10-06,XOM,7.111636148848199,11.934834031014416,84.65,90.67
2023-03-06,2023-03-10,MA,-5.40412880998028,-9.166020577859085,359.91,340.46
2023-03-28,2023-04-03,XOM,8.416916554647912,14.160328745437283,96.71,104.85
2023-05-08,2023-05-16,AMD,6.7669964218059375,11.528294628513965,95.02,101.45
2023-09-06,2023-09-14,COST,3.331118914301978,5.780924578670908,526.85,544.4
2023-08-25,2023-09-15,TSLA,15.04024144869216,25.882725680318973,238.56,274.44
2023-10-02,2023-10-18,NVDA,-5.82979673888766,-6.839836013851725,44.77,42.16
2023-09-29,2023-10-20,AMD,-0.9918319719953383,-1.7539494683406687,102.84,101.82
2023-10-09,2023-10-23,V,-1.2998869663507606,-2.3149608518331295,230.02,227.03
2023-10-19,2023-10-27,XOM,-6.572860447185825,-11.543039541033748,103.76,96.94
2023-10-19,2023-11-03,NFLX,7.642519293004724,13.421538932876249,40.17,43.24
2023-11-01,2023-11-07,AMD,5.00601462015362,5.784277414934391,108.07,113.48
2023-10-30,2023-11-07,AMZN,7.532389273877671,13.107555107455937,132.76,142.76
2023-10-31,2023-11-07,INTC,6.603510727222051,11.501592915901087,35.89,38.26
2023-11-06,2023-11-15,JPM,3.9050479888636414,4.654167121654437,136.49,141.82
2023-11-03,2023-11-20,MA,4.745638007147357,8.469086062325953,380.56,398.62
2023-11-08,2023-11-29,GOOGL,2.4250305997551846,4.374475158530908,130.72,133.89
2024-01-03,2024-01-12,UNH,-3.8233928985843657,-6.984134909402703,517.08,497.31
2024-01-19,2024-01-31,AAPL,-3.723825096260347,-6.76324434135487,189.59,182.53
2024-03-13,2024-03-22,GOOGL,7.83818863570811,14.15627070785182,138.68,149.55
2024-04-25,2024-05-10,JPM,2.7729823047043523,5.067066282580253,185.36,190.5
2024-04-29,2024-05-20,AMD,3.847954311394064,7.0306212661058,160.215,166.38
2024-04-30,2024-05-21,NVDA,10.339238161398633,12.705864704941344,86.37,95.3
2024-05-07,2024-05-28,V,-1.7911543402459151,-2.199711801730647,272.45,267.57
2024-05-08,2024-05-29,META,0.39627585913033503,0.7244146308444848,469.37,471.23
2024-06-24,2024-07-15,XOM,1.0039973970437988,1.869735154038712,107.57,108.65
2024-07-08,2024-07-24,MA,-2.9575867543660594,-5.493908347425867,440.9,427.86
2024-08-09,2024-08-16,NFLX,6.308153288124907,11.679141767839996,63.41,67.41
2024-07-31,2024-08-21,V,1.1596414266641375,2.1532854923543496,262.15,265.19
2024-08-14,2024-09-04,MSFT,-1.7100878153202381,-3.1888199681973077,411.09,404.06
2024-08-15,2024-09-05,AMZN,0.15766653527788943,0.2955799415396611,177.59,177.87
2024-08-15,2024-09-05,ORCL,4.127314642671243,5.107917454158335,134.47,140.02
2024-08-16,2024-09-06,BAC,-0.7678051363516181,-0.9652460407621882,37.77,37.48
2024-08-16,2024-09-06,GOOGL,-7.402372713791394,-13.904541989552824,161.84,149.86
2024-09-16,2024-10-07,GOOGL,3.137729124236266,5.831847841130321,157.12,162.05
2024-09-20,2024-10-11,WFC,8.351688693098392,15.603829487804711,54.48,59.03
2024-10-15,2024-10-30,PG,-3.6513971875188678,-6.9039671190107335,165.69,159.64
2024-11-13,2024-11-22,PG,5.820932849818683,10.945787598293428,159.94,169.25
