date,symbol,signal_type,price,atr,reason,days_held
2022-02-17,HD,exit,312.4,7.529994501902151,"Exit: Trailing stop (Peak: 335.43, Drop: 23.03)",16
2022-02-18,JNJ,exit,145.45,2.2245073208000217,"Exit: 21 days elapsed + Trailing stop (Peak: 152.85, Drop: 7.40)",21
2022-02-22,AAPL,exit,161.0,4.147039909185502,Exit: 21 days elapsed,21
2022-02-23,NVDA,exit,22.34,1.5595047791258374,"Exit: 21 days elapsed + Trailing stop (Peak: 26.66, Drop: 4.32)",21
2022-02-23,TSLA,exit,254.68,18.033487264254298,"Exit: Trailing stop (Peak: 310.50, Drop: 55.82)",15
2022-02-25,MSFT,entry,287.73,9.210281455738285,"Entry: RSI context 33.4, MACD cross, BB context",0
2022-03-01,TSLA,entry,288.07,18.404509833256117,"Entry: RSI context 32.2, MACD cross, BB context",0
2022-03-03,JNJ,entry,150.06,2.7988598288101003,"Entry: RSI context 27.9, MACD cross, BB context",0
2022-03-08,MSFT,exit,266.66,9.204993399044755,"Exit: Trailing stop (Peak: 290.27, Drop: 23.61)",11
2022-03-15,JNJ,exit,156.91,3.051161710445633,Exit: RSI 66.2,12
2022-03-17,BAC,entry,38.83,1.3944131970851528,"Entry: RSI context 24.5, MACD cross, BB context",0
2022-03-17,WFC,entry,46.49,1.7955213785996895,"Entry: RSI context 27.7, MACD cross, BB context",0
2022-03-18,AAPL,entry,160.58,4.798831463077362,"Entry: RSI context 32.7, MACD cross, BB context",0
2022-03-21,PG,entry,135.1,2.95012695386761,"Entry: RSI context 28.5, MACD cross, BB context",0
2022-03-22,TSLA,exit,331.42,16.944313119846456,Exit: 21 days elapsed,21
2022-03-29,AAPL,exit,175.4,4.327243975411773,Exit: RSI 67.5,11
2022-04-05,BAC,exit,36.21,1.14897246208219,"Exit: Trailing stop (Peak: 39.88, Drop: 3.67)",19
2022-04-05,WFC,exit,43.47,1.575913065181374,"Exit: Trailing stop (Peak: 48.21, Drop: 4.74)",19
2022-04-11,PG,exit,142.93,2.555900520211908,Exit: 21 days elapsed,21
2022-06-22,UNH,entry,457.19,12.812687734310654,"Entry: RSI context 30.4, MACD cross, BB context",0
2022-06-23,JNJ,entry,161.0,3.083724015056226,"Entry: RSI context 32.0, MACD cross, BB context",0
2022-07-13,UNH,exit,467.91,12.182699299619257,Exit: 21 days elapsed,21
2022-07-14,JNJ,exit,157.44,2.671053570351642,Exit: 21 days elapsed,21
2022-10-04,XOM,entry,84.65,2.6290267557409726,"Entry: RSI context 29.9, MACD cross, BB context",0
2022-10-06,XOM,exit,90.67,2.7838547026542044,Exit: RSI 66.5,2
2023-03-06,MA,entry,359.91,6.202720866815184,"Entry: RSI context 33.4, MACD cross, BB context",0
2023-03-10,MA,exit,340.46,6.691286981390785,"Exit: Trailing stop (Peak: 359.91, Drop: 19.45)",4
2023-03-28,XOM,entry,96.71,2.854377435995209,"Entry: RSI context 25.8, MACD cross, BB context",0
2023-04-03,XOM,exit,104.85,2.8112878474973755,Exit: RSI 66.4,6
2023-05-08,AMD,entry,95.02,4.298861206438221,"Entry: RSI context 32.4, MACD cross, BB context",0
2023-05-16,AMD,exit,101.45,4.231355411673025,Exit: RSI 65.9,8
2023-08-25,TSLA,entry,238.56,9.818066685068718,"Entry: RSI context 27.4, MACD cross, BB context",0
2023-09-06,COST,entry,526.85,6.795536677435388,"Entry: RSI context 33.5, MACD cross, BB context",0
2023-09-14,COST,exit,544.4,6.192875127295387,Exit: RSI 67.0,8
2023-09-15,TSLA,exit,274.44,10.80905751914869,Exit: 21 days elapsed,21
2023-09-29,AMD,entry,102.84,3.847982267306558,"Entry: RSI context 32.8, MACD cross, BB context",0
2023-10-02,NVDA,entry,44.77,1.4763407074424992,"Entry: RSI context 31.4, MACD cross, BB context",0
2023-10-06,MSFT,entry,321.14,6.4911256410062705,"Entry: RSI context 33.7, MACD cross, BB context",0
2023-10-09,CRM,entry,204.23,4.38034047952236,"Entry: RSI context 30.5, MACD cross, BB context",0
2023-10-09,V,entry,230.02,3.277242293732032,"Entry: RSI context 28.5, MACD cross, BB context",0
2023-10-18,NVDA,exit,42.16,1.593711995645529,"Exit: Trailing stop (Peak: 46.90, Drop: 4.74)",16
2023-10-19,NFLX,entry,40.17,1.4059292640787597,"Entry: RSI context 27.3, MACD cross, BB context",0
